Year,Field,Plot_No,SMU,Core_No,Tillage,Depth,Lab_No,TotalN.perc,TotalC.perc,InorganicC.perc,OrganicC.perc,pH,Delta_C13,atom_pct
2005,70,47807,138B,47,Chisel,30 to 60,G187,0.08,0.82,0.001,0.82,7.81,-7.93,1.1025
2005,70,47807,107/507,48,Chisel,30 to 60,G191,0.1,1.51,0.001,1.51,8.04,-3.1,1.1078
2005,70,47806,138B,49,Plow,30 to 60,G195,0.08,0.88,0.001,0.88,6.22,-15.92,1.0937
2005,70,47806,138B,50,Plow,30 to 60,G199,0.07,0.68,0.001,0.68,6.05,-17.02,1.0925
2005,70,47806,107/507,51,Plow,30 to 60,G203,0.07,1.66,1.02,0.64,6.57,-16.57,1.093
2005,70,47803,107/507,52,Slot,30 to 60,G207,0.12,1.61,0.001,1.61,7.25,-9.42,1.1009
2005,70,47803,138B,53,Slot,30 to 60,G211,0.1,1.35,0.001,1.35,5.84,-15.84,1.0938
2005,70,47803,138B,54,Slot,30 to 60,G215,0.06,0.6,0.001,0.6,6.79,-16.4,1.0932
2005,70,47803,138B,55,Slot,30 to 60,G219,0.05,0.42,0.001,0.42,6.76,-16.25,1.0934
2005,70,47796,138B,56,Plow,30 to 60,G223,0.08,0.91,0.001,0.91,7.33,-8.51,1.1019
2005,70,47796,138B,57,Plow,30 to 60,G227,0.1,1.16,0.001,1.16,6.12,-15.42,1.0943
2005,70,47796,138B,58,Plow,30 to 60,G231,0.05,0.85,0.001,0.85,6.7,-16.47,1.0931
2005,70,47796,138B,59,Plow,30 to 60,G235,0.06,0.87,0.001,0.87,6.89,-16.58,1.093
2005,70,47793,107/507,60,Till,30 to 60,G239,0.06,1.03,0.001,1.03,7.67,-3.69,1.1072
2005,70,47793,107/507,61,Till,30 to 60,G243,0.05,1.03,0.35,0.68,5.79,-15.25,1.0945
2005,70,47793,107/507,62,Till,30 to 60,G247,0.06,0.9,0.001,0.9,6.17,-15.76,1.0939
2005,70,47793,107/507,63,Till,30 to 60,G251,0.09,1.45,0.04,1.41,6.46,-16.45,1.0931
2005,70,47794,107/507,64,Chisel,30 to 60,G255,0.08,1.22,0.03,1.19,7.54,-2.22,1.1088
2005,70,47794,107/507,65,Chisel,30 to 60,G259,0.08,1.16,0.02,1.14,6.26,-15.8,1.0939
2005,70,47794,107/507,66,Chisel,30 to 60,G263,0.09,1.43,0.03,1.4,5.9,-16.06,1.0936
2005,70,47794,107/507,67,Chisel,30 to 60,G267,0.09,1.58,0.03,1.55,6.27,-16.62,1.093
2005,70,47795,107/507,68,Disk,30 to 60,G271,0.08,1.1,0.001,1.1,7.56,-3.8,1.107
2005,70,47795,107/507,69,Disk,30 to 60,G275,0.12,1.84,0.01,1.83,6.18,-15.97,1.0937
2005,70,47795,107/507,70,Disk,30 to 60,G279,0.09,1.36,0.02,1.34,6.37,-16.15,1.0935
2005,70,47795,107/507,71,Disk,30 to 60,G283,0.11,2.05,0.001,2.05,6.55,-16.58,1.093
2005,70,47804,107/507,72,Till,30 to 60,G287,0.04,0.67,0.02,0.65,7.65,-3.85,1.107
2005,70,47804,107/507,73,Till,30 to 60,G291,0.06,0.9,0.01,0.89,5.58,-16.36,1.0932
2005,70,47804,107/507,74,Till,30 to 60,G295,0.05,0.72,0.02,0.7,6.36,-16.28,1.0933
2005,70,47804,107/507,75,Till,30 to 60,G299,0.06,0.84,0.02,0.82,7.15,-12.33,1.0977
2005,70,47805,107/507,76,Slot,30 to 60,G303,0.11,1.54,0.01,1.53,7.91,-2.55,1.1084
2005,70,47805,107/507,77,Slot,30 to 60,G307,0.07,0.99,0.001,0.99,5.76,-16.27,1.0933
2005,70,47805,107/507,78,Slot,30 to 60,G311,0.03,1.95,1.58,0.37,6.5,-16.24,1.0934
2005,70,47790,138B,1,Disk,60 to 90,G4,0.03,0.26,0.03,0.23,6.47,-16.32,1.0933
2005,70,47790,138B,2,Disk,60 to 90,G8,0.03,1.14,0.9,0.24,7.52,-5.65,1.105
2005,70,47790,138B,3,Disk,60 to 90,G12,0.03,2.4,2.16,0.24,6.91,-15.69,1.094
2005,70,47790,138B,4,Disk,60 to 90,G16,0.03,0.29,0.04,0.25,7.4,-16.2,1.0934
2005,70,47799,138B,5,Slot,60 to 90,G20,0.04,0.5,0.02,0.48,7.61,-15,1.0947
2005,70,47799,138B,6,Slot,60 to 90,G24,0.04,1.21,0.88,0.33,7.92,-3.64,1.1072
2005,70,47799,138B,7,Slot,60 to 90,G28,0.03,0.4,0.03,0.37,6.47,-15.89,1.0938
2005,70,47799,138B,8,Slot,60 to 90,G32,0.04,0.53,0.02,0.51,6.69,-16.77,1.0928
