,index,country,location,latitude,longitude,soil,pH,crop,sowing_year,sowing_month,harvest_year,harvest_month,yield_ct,yield_nt,P,E,PB,Tave,Tmax,Tmin,ST
98,2130,India,"Odisha, Cuttack",20.46,85.87,sandy clay loam,5.2,rice,1981,6,1981,11,2073.0,1306.0,958.5,572.469,386.031,27.91667,35.15304,19.04987,Sandy loam
99,2131,India,"Odisha, Cuttack",20.46,85.87,sandy clay loam,5.2,rice,1982,6,1982,11,2620.0,2018.0,1120.0,583.639,536.361,28.3,34.41824,19.74432,Sandy loam
100,2449,India,"Patna, Bihar",25.62,85.22,silty clay,7.11,rice,2014,7,2014,11,4486.0,4875.0,153.4,456.665,-303.265,27.34,33.7701,13.39191,Loam
101,2450,India,"Patna, Bihar",25.62,85.22,silty clay,7.11,rice,2015,7,2015,11,4194.0,4612.0,621.5,463.801,157.699,28.18,35.25414,16.45587,Loam
102,1521,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2007,7,2007,11,4200.0,4300.0,820.5,423.625,396.875,27.32,32.47084,16.76495,Loam
103,1522,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2009,7,2009,11,5500.0,5100.0,416.8,444.714,-27.914,27.84,34.50677,16.48482,Loam
104,1523,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2010,7,2010,11,5400.0,5700.0,433.3,462.081,-28.781,28.42,34.44553,18.43218,Loam
105,1524,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2011,7,2011,11,5900.0,6200.0,419.3,440.388,-21.088,27.72,34.00337,16.44035,Loam
106,1525,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2012,7,2012,11,6400.0,6500.0,690.9,434.023,256.877,27.28,33.51878,14.67209,Loam
107,1526,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2014,7,2014,11,6000.0,6000.0,252.4,450.37,-197.97,27.44,33.3694,14.31338,Loam
108,1527,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2015,7,2015,11,6200.0,5900.0,459.2,458.87,0.33,28.36,34.83646,17.34437,Loam
109,1528,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2016,7,2016,11,6400.0,6400.0,671.6,427.691,243.909,27.84,32.94168,16.3863,Loam
110,1529,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2007,7,2007,11,4200.0,4000.0,820.5,423.625,396.875,27.32,32.47084,16.76495,Loam
111,1530,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2009,7,2009,11,5500.0,6300.0,416.8,444.714,-27.914,27.84,34.50677,16.48482,Loam
112,1531,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2010,7,2010,11,5400.0,5500.0,433.3,462.081,-28.781,28.42,34.44553,18.43218,Loam
113,1532,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2011,7,2011,11,5900.0,5800.0,419.3,440.388,-21.088,27.72,34.00337,16.44035,Loam
114,1533,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2012,7,2012,11,6400.0,5900.0,690.9,434.023,256.877,27.28,33.51878,14.67209,Loam
115,1534,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2014,7,2014,11,6000.0,4900.0,252.4,450.37,-197.97,27.44,33.3694,14.31338,Loam
116,1535,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2015,7,2015,11,6200.0,5500.0,459.2,458.87,0.33,28.36,34.83646,17.34437,Loam
117,1536,India,"Samastipus, Bihar",25.58,85.4,clay loam,8.3,rice,2016,7,2016,11,6400.0,6000.0,671.6,427.691,243.909,27.84,32.94168,16.3863,Loam
118,4233,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2013,7,2013,11,4400.0,4300.0,765.4,423.107,342.293,26.96,32.63734,16.726,Loam
119,4234,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2013,7,2013,11,3500.0,3530.0,765.4,423.107,342.293,26.96,32.63734,16.726,Loam
120,4235,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2014,7,2014,11,4500.0,4500.0,834.0,452.818,381.182,27.32,32.97526,18.00254,Loam
121,4236,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2014,7,2014,11,3700.0,3500.0,834.0,452.818,381.182,27.32,32.97526,18.00254,Loam
122,4237,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2015,7,2015,11,4500.0,4470.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
123,4238,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2015,7,2015,11,3800.0,3470.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
124,4239,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2013,7,2013,11,4800.0,4100.0,765.4,423.107,342.293,26.96,32.63734,16.726,Loam
125,4240,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2013,7,2013,11,3500.0,3530.0,765.4,423.107,342.293,26.96,32.63734,16.726,Loam
126,4241,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2014,7,2014,11,5070.0,4000.0,834.0,452.818,381.182,27.32,32.97526,18.00254,Loam
127,4242,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2014,7,2014,11,3700.0,3600.0,834.0,452.818,381.182,27.32,32.97526,18.00254,Loam
128,4243,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2015,7,2015,11,5100.0,4000.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
129,4244,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2015,7,2015,11,3900.0,3470.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
130,4245,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2013,7,2013,11,9230.0,8440.0,765.4,423.107,342.293,26.96,32.63734,16.726,Loam
131,4246,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2014,7,2014,11,9510.0,8470.0,834.0,452.818,381.182,27.32,32.97526,18.00254,Loam
132,4247,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2015,7,2015,11,9570.0,8430.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
133,4248,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2013,7,2013,11,11790.0,11453.0,765.4,423.107,342.293,26.96,32.63734,16.726,Loam
134,4249,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2014,7,2014,11,11874.0,11874.0,834.0,452.818,381.182,27.32,32.97526,18.00254,Loam
135,4250,India,Tripura ,23.9,91.32,clay loam,5.1,rice,2015,7,2015,11,11874.0,12042.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
136,4227,India,Tripura ,23.9,91.32,sandy loam,5.2,rice,2012,7,2012,11,2730.0,2560.0,1063.6,433.545,630.055,27.02,32.53722,18.02682,Loam
137,4228,India,Tripura ,23.9,91.32,sandy loam,5.2,rice,2013,7,2013,11,2740.0,2680.0,765.4,423.107,342.293,26.96,32.63734,16.726,Loam
138,4229,India,Tripura ,23.9,91.32,sandy loam,5.2,rice,2012,7,2012,11,7070.0,6680.0,1063.6,433.545,630.055,27.02,32.53722,18.02682,Loam
139,4230,India,Tripura ,23.9,91.32,sandy loam,5.2,rice,2013,7,2013,11,7230.0,6960.0,765.4,423.107,342.293,26.96,32.63734,16.726,Loam
140,4231,India,Tripura ,23.9,91.32,sandy loam,5.2,rice,2012,7,2012,11,7770.0,7430.0,1063.6,433.545,630.055,27.02,32.53722,18.02682,Loam
141,4232,India,Tripura ,23.9,91.32,sandy loam,"5,2",rice,2015,7,2015,11,8200.0,8610.0,1334.4,403.619,930.781,27.38,32.67963,18.36915,Loam
142,1537,India,Uttar Pradesh,29.07,77.77, Ustochrept,8.2,rice,2006,7,2006,11,5600.0,5700.0,404.4,450.584,-46.184,27.58,35.00947,13.85652,Loam
143,1538,India,Uttar Pradesh,29.07,77.77, Ustochrept,8.2,rice,2006,7,2006,11,5300.0,5300.0,404.4,450.584,-46.184,27.58,35.00947,13.85652,Loam
144,1036,India,"Uttar Pradesh, SVP University",29.02,77.75,sandy loam,8.1,rice,2006,7,2006,11,8660.0,6610.0,404.4,450.584,-46.184,27.58,35.00947,13.85652,Loam
145,1037,India,"Uttar Pradesh, SVP University",29.02,77.75,sandy loam,8.1,rice,2007,7,2007,11,8790.0,7010.0,544.5,439.466,105.034,27.36,34.85366,12.72313,Loam
146,1038,India,"Uttar Pradesh, SVP University",29.02,77.75,sandy loam,8.1,rice,2008,7,2008,11,8000.0,6130.0,687.2,431.871,255.329,27.18,34.13989,13.04172,Loam
147,1039,India,"Uttar Pradesh, SVP University",29.02,77.75,sandy loam,8.1,rice,2009,7,2009,11,8000.0,6960.0,595.4,433.603,161.797,27.54,36.16642,13.17497,Loam
