,Year,Plot Num,Treatment Num,Stover Harvest,BioChar History,Tillage,Depth,Replicate,Collect Date,TotalC.perc,TotalN.perc,InorganicC.perc,OrgC.perc,OrganicMatter.perc,pH
100,2017,221,10,Moderate,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.55,0.13,,,2.5,5.8
101,2017,221,10,Moderate,No,No-Till,60 to 90,2,2018-07-09 00:00:00,0.75,0.04,0.55,0.2,0.9,7.9
102,2017,221,10,Moderate,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.82,0.2,,,3.9,6.2
103,2017,221,10,Moderate,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.39,0.1,,,2.5,6.7
104,2017,221,10,Moderate,No,No-Till,90 to 120,2,2018-07-09 00:00:00,0.25,0.04,0.13,0.12,0.6,7.5
105,2017,222,22,High,No,No-Till,15 to 30,2,2018-07-09 00:00:00,1.88,0.16,,,2.6,6.3
106,2017,222,22,High,No,No-Till,60 to 90,2,2018-07-09 00:00:00,0.44,0.06,,,1.1,6.9
107,2017,222,22,High,No,No-Till,0 to 15,2,2018-07-09 00:00:00,2.29,0.18,,,3.4,6.5
108,2017,222,22,High,No,No-Till,30 to 60,2,2018-07-09 00:00:00,1.23,0.11,0.05,1.18,2.3,6.8
109,2017,222,22,High,No,No-Till,90 to 120,2,2018-07-09 00:00:00,1.18,0.05,1.06,0.12,0.9,8.1
110,2017,302,19,Moderate,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.06,0.18,,,3.0,5.9
111,2017,302,19,Moderate,No,No-Till,60 to 90,3,2018-07-09 00:00:00,0.34,0.06,,,0.9,6.8
112,2017,302,19,Moderate,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.49,0.22,,,3.0,6.8
113,2017,302,19,Moderate,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.14,0.11,,,1.9,6.5
114,2017,302,19,Moderate,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.12,0.05,2.57,-0.45,0.6,8.3
115,2017,303,22,High,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.14,0.18,,,2.9,5.7
116,2017,303,22,High,No,No-Till,60 to 90,3,2018-07-09 00:00:00,0.32,0.06,,,1.1,6.8
117,2017,303,22,High,No,No-Till,0 to 15,3,2018-07-09 00:00:00,2.36,0.22,,,3.0,6.6
118,2017,303,22,High,No,No-Till,30 to 60,3,2018-07-09 00:00:00,1.02,0.08,,,1.7,7.5
119,2017,303,22,High,No,No-Till,90 to 120,3,2018-07-09 00:00:00,2.36,0.03,2.41,-0.05,0.7,8.2
120,2017,306,21,Moderate,No,No-Till,15 to 30,3,2018-07-09 00:00:00,2.21,0.16,,,3.4,5.5
121,2017,306,21,Moderate,No,No-Till,60 to 90,3,2018-07-09 00:00:00,0.89,0.1,,,1.9,6.8
