year,month,10m_v_component_of_wind,surface_solar_radiation_downwards,2m_temperature,surface_thermal_radiation_downwards,surface_pressure,evaporation,10m_u_component_of_wind,total_precipitation
2024,5,-3.0240068,0.0,220.01709,87.96601,68138.12,-1.11693e-07,2.6661315,7.0219816e-05
2024,5,-3.0240068,0.0,220.01709,87.96601,68138.12,-1.11693e-07,2.6661315,7.0219816e-05
2024,5,-2.9026697,0.0,220.01752,87.96613,68138.12,-1.1175602e-07,2.793682,7.0219954e-05
2024,5,-2.9026697,0.0,220.01752,87.96613,68138.12,-1.1175602e-07,2.793682,7.0219954e-05
2024,5,-2.747691,0.0,219.94719,87.96914,68138.12,-1.0980362e-07,2.8711293,7.023675e-05
2024,5,-2.747691,0.0,219.94719,87.96914,68138.12,-1.0980362e-07,2.8711293,7.023675e-05
2024,5,-2.6172988,0.0,219.9478,87.96931,68138.12,-1.0986294e-07,2.986974,7.023585e-05
2024,5,-2.6172988,0.0,219.9478,87.96931,68138.12,-1.0986294e-07,2.986974,7.023585e-05
2024,5,-2.4819188,0.0,219.94843,87.96941,68138.12,-1.0991559e-07,3.0973463,7.023543e-05
2024,5,-2.4819188,0.0,219.94843,87.96941,68138.12,-1.0991559e-07,3.0973463,7.023543e-05
2024,5,-2.3418374,0.0,219.94904,87.969475,68138.12,-1.0995993e-07,3.202061,7.0234484e-05
2024,5,-2.3418374,0.0,219.94904,87.969475,68138.12,-1.0995993e-07,3.202061,7.0234484e-05
2024,5,-2.1973457,0.0,219.94963,87.96953,68138.12,-1.0999454e-07,3.300938,7.023348e-05
2024,5,-2.1973457,0.0,219.94963,87.96953,68138.12,-1.0999454e-07,3.300938,7.023348e-05
2024,5,-2.0487435,0.0,219.95021,87.96953,68138.12,-1.1001872e-07,3.3938096,7.0232774e-05
2024,5,-2.0487435,0.0,219.95021,87.96953,68138.12,-1.1001872e-07,3.3938096,7.0232774e-05
2024,5,-1.9150085,0.0,220.03214,87.96612,68138.12,-1.1234096e-07,3.5385065,7.022303e-05
2024,5,-1.9150085,0.0,220.03214,87.96612,68138.12,-1.1234096e-07,3.5385065,7.022303e-05
2024,5,-1.75665,0.0,220.03265,87.966034,68138.12,-1.1234474e-07,3.6195066,7.022426e-05
2024,5,-1.75665,0.0,220.03265,87.966034,68138.12,-1.1234474e-07,3.6195066,7.022426e-05
2024,5,-1.5950555,0.0,220.03313,87.96599,68138.12,-1.12337425e-07,3.693876,7.0227296e-05
2024,5,-1.5950555,0.0,220.03313,87.96599,68138.12,-1.12337425e-07,3.693876,7.0227296e-05
2024,5,-1.4305449,0.0,220.03351,87.96589,68138.12,-1.1231932e-07,3.7614582,7.0229304e-05
2024,5,-1.4305449,0.0,220.03351,87.96589,68138.12,-1.1231932e-07,3.7614582,7.0229304e-05
2024,5,-1.2634422,0.0,220.03381,87.965805,68138.12,-1.12290905e-07,3.822102,7.023089e-05
2024,5,-1.2634422,0.0,220.03381,87.965805,68138.12,-1.12290905e-07,3.822102,7.023089e-05
2024,5,-1.0940744,0.0,220.034,87.96569,68138.12,-1.1225242e-07,3.875648,7.023272e-05
2024,5,-1.0940744,0.0,220.034,87.96569,68138.12,-1.1225242e-07,3.875648,7.023272e-05
2024,5,-0.9201575,0.0,219.97816,87.96803,68138.12,-1.1061981e-07,3.88063,7.024181e-05
2024,5,-0.9201575,0.0,219.97816,87.96803,68138.12,-1.1061981e-07,3.88063,7.024181e-05
2024,5,-0.749077,0.0,219.97813,87.96794,68138.12,-1.1056313e-07,3.9196644,7.024223e-05
2024,5,-0.749077,0.0,219.97813,87.96794,68138.12,-1.1056313e-07,3.9196644,7.024223e-05
2024,5,-0.5767544,0.0,219.97801,87.96785,68138.12,-1.10501325e-07,3.9513364,7.02422e-05
2024,5,-0.5767544,0.0,219.97801,87.96785,68138.12,-1.10501325e-07,3.9513364,7.02422e-05
2024,5,-0.40352422,0.0,219.9778,87.967674,68138.12,-1.10436375e-07,3.9755487,7.024285e-05
2024,5,-0.40352422,0.0,219.9778,87.967674,68138.12,-1.10436375e-07,3.9755487,7.024285e-05
